waktu,brand,tipe,sale
2019-05,HINO,SS1E,-
2019-06,HINO,SS1E,-
2019-07,HINO,SS1E,-
2019-08,HINO,SS1E,-
2019-09,HINO,SS1E,-
2019-010,HINO,SS1E,-
2019-011,HINO,SS1E,-
2019-012,HINO,SS1E,-
2019-01,HINO,FM 350 TH,23
2019-02,HINO,FM 350 TH,12
2019-03,HINO,FM 350 TH,14
2019-04,HINO,FM 350 TH,7
2019-05,HINO,FM 350 TH,24
2019-06,HINO,FM 350 TH,8
2019-07,HINO,FM 350 TH,20
2019-08,HINO,FM 350 TH,18
2019-09,HINO,FM 350 TH,18
2019-010,HINO,FM 350 TH,30
2019-011,HINO,FM 350 TH,18
2019-012,HINO,FM 350 TH,16
2019-01,HINO,FM 360 TH CNG,-
2019-02,HINO,FM 360 TH CNG,-
2019-03,HINO,FM 360 TH CNG,-
2019-04,HINO,FM 360 TH CNG,-
2019-05,HINO,FM 360 TH CNG,-
2019-06,HINO,FM 360 TH CNG,-
2019-07,HINO,FM 360 TH CNG,-
2019-08,HINO,FM 360 TH CNG,8
2019-09,HINO,FM 360 TH CNG,1
2019-010,HINO,FM 360 TH CNG,-
2019-011,HINO,FM 360 TH CNG,-
2019-012,HINO,FM 360 TH CNG,-
2019-01,ISUZU,FVZ34 P,-
2019-02,ISUZU,FVZ34 P,-
2019-03,ISUZU,FVZ34 P,-
2019-04,ISUZU,FVZ34 P,-
2019-05,ISUZU,FVZ34 P,-
2019-06,ISUZU,FVZ34 P,-
2019-07,ISUZU,FVZ34 P,-
2019-08,ISUZU,FVZ34 P,-
2019-09,ISUZU,FVZ34 P,-
2019-010,ISUZU,FVZ34 P,-
2019-011,ISUZU,FVZ34 P,-
2019-012,ISUZU,FVZ34 P,-
2019-01,ISUZU,FVZ34 T LWB,98
2019-02,ISUZU,FVZ34 T LWB,37
2019-03,ISUZU,FVZ34 T LWB,57
2019-04,ISUZU,FVZ34 T LWB,52
2019-05,ISUZU,FVZ34 T LWB,37
2019-06,ISUZU,FVZ34 T LWB,142
2019-07,ISUZU,FVZ34 T LWB,42
2019-08,ISUZU,FVZ34 T LWB,115
2019-09,ISUZU,FVZ34 T LWB,67
2019-010,ISUZU,FVZ34 T LWB,61
2019-011,ISUZU,FVZ34 T LWB,39
2019-012,ISUZU,FVZ34 T LWB,70
2019-01,ISUZU,GVZ34K,26
2019-02,ISUZU,GVZ34K,2
2019-03,ISUZU,GVZ34K,7
2019-04,ISUZU,GVZ34K,1
2019-05,ISUZU,GVZ34K,10
2019-06,ISUZU,GVZ34K,19
2019-07,ISUZU,GVZ34K,6
2019-08,ISUZU,GVZ34K,7
2019-09,ISUZU,GVZ34K,1
2019-010,ISUZU,GVZ34K,5
2019-011,ISUZU,GVZ34K,3
2019-012,ISUZU,GVZ34K,8
2019-01,MAN TRUCK,"CLA 18,280 BBS-WW",5
2019-02,MAN TRUCK,"CLA 18,280 BBS-WW",-
2019-03,MAN TRUCK,"CLA 18,280 BBS-WW",-
2019-04,MAN TRUCK,"CLA 18,280 BBS-WW",2
2019-05,MAN TRUCK,"CLA 18,280 BBS-WW",-
2019-06,MAN TRUCK,"CLA 18,280 BBS-WW",-
2019-07,MAN TRUCK,"CLA 18,280 BBS-WW",-
2019-08,MAN TRUCK,"CLA 18,280 BBS-WW",-
2019-09,MAN TRUCK,"CLA 18,280 BBS-WW",-
2019-010,MAN TRUCK,"CLA 18,280 BBS-WW",-
2019-011,MAN TRUCK,"CLA 18,280 BBS-WW",-
2019-012,MAN TRUCK,"CLA 18,280 BBS-WW",-
2019-01,MAN TRUCK,"CLA 26,280 BB-WW",-
2019-02,MAN TRUCK,"CLA 26,280 BB-WW",2
2019-03,MAN TRUCK,"CLA 26,280 BB-WW",-
2019-04,MAN TRUCK,"CLA 26,280 BB-WW",1
2019-05,MAN TRUCK,"CLA 26,280 BB-WW",-
2019-06,MAN TRUCK,"CLA 26,280 BB-WW",-
2019-07,MAN TRUCK,"CLA 26,280 BB-WW",-
2019-08,MAN TRUCK,"CLA 26,280 BB-WW",-
2019-09,MAN TRUCK,"CLA 26,280 BB-WW",2
2019-010,MAN TRUCK,"CLA 26,280 BB-WW",-
2019-011,MAN TRUCK,"CLA 26,280 BB-WW",-
2019-012,MAN TRUCK,"CLA 26,280 BB-WW",-
2019-01,MAN TRUCK,"TGS 40,440 BBS-WW",3
2019-02,MAN TRUCK,"TGS 40,440 BBS-WW",1
2019-03,MAN TRUCK,"TGS 40,440 BBS-WW",3
2019-04,MAN TRUCK,"TGS 40,440 BBS-WW",-
2019-05,MAN TRUCK,"TGS 40,440 BBS-WW",-
2019-06,MAN TRUCK,"TGS 40,440 BBS-WW",1
2019-07,MAN TRUCK,"TGS 40,440 BBS-WW",2
2019-08,MAN TRUCK,"TGS 40,440 BBS-WW",1
2019-09,MAN TRUCK,"TGS 40,440 BBS-WW",3
2019-010,MAN TRUCK,"TGS 40,440 BBS-WW",3
2019-011,MAN TRUCK,"TGS 40,440 BBS-WW",2
2019-012,MAN TRUCK,"TGS 40,440 BBS-WW",-
2019-01,MAN TRUCK,"TGS 40,480 BBS-WW",-
2019-02,MAN TRUCK,"TGS 40,480 BBS-WW",-
2019-03,MAN TRUCK,"TGS 40,480 BBS-WW",-
2019-04,MAN TRUCK,"TGS 40,480 BBS-WW",-
2019-05,MAN TRUCK,"TGS 40,480 BBS-WW",-
2019-06,MAN TRUCK,"TGS 40,480 BBS-WW",-
2019-07,MAN TRUCK,"TGS 40,480 BBS-WW",-
2019-08,MAN TRUCK,"TGS 40,480 BBS-WW",-
2019-09,MAN TRUCK,"TGS 40,480 BBS-WW",-
2019-010,MAN TRUCK,"TGS 40,480 BBS-WW",1
2019-011,MAN TRUCK,"TGS 40,480 BBS-WW",-
2019-012,MAN TRUCK,"TGS 40,480 BBS-WW",-
2019-01,MAN TRUCK,"TGS 41,480 BB-WW",-
2019-02,MAN TRUCK,"TGS 41,480 BB-WW",-
2019-03,MAN TRUCK,"TGS 41,480 BB-WW",-
2019-04,MAN TRUCK,"TGS 41,480 BB-WW",-
2019-05,MAN TRUCK,"TGS 41,480 BB-WW",-
2019-06,MAN TRUCK,"TGS 41,480 BB-WW",-
2019-07,MAN TRUCK,"TGS 41,480 BB-WW",-
2019-08,MAN TRUCK,"TGS 41,480 BB-WW",-
2019-09,MAN TRUCK,"TGS 41,480 BB-WW",-
2019-010,MAN TRUCK,"TGS 41,480 BB-WW",-
2019-011,MAN TRUCK,"TGS 41,480 BB-WW",-
2019-012,MAN TRUCK,"TGS 41,480 BB-WW",-
2019-01,MERCEDES BENZ CV,Actros 2553 A,-
2019-02,MERCEDES BENZ CV,Actros 2553 A,1
2019-03,MERCEDES BENZ CV,Actros 2553 A,-
2019-04,MERCEDES BENZ CV,Actros 2553 A,-
2019-05,MERCEDES BENZ CV,Actros 2553 A,2
2019-06,MERCEDES BENZ CV,Actros 2553 A,-
